Index,Binding Probability
0,1.0000000000000000
1,1.0000000000000000
2,1.0000000000000000
3,0.9977172613143921
4,0.9998905658721924
5,0.9999704360961914
6,1.0000000000000000
7,1.0000000000000000
8,1.0000000000000000
9,1.0000000000000000
10,1.0000000000000000
11,0.9999997615814209
12,1.0000000000000000
13,0.0008403310202993
14,0.1751844733953476
15,0.0000005083020937
16,0.0250416640192270
17,1.0000000000000000
18,1.0000000000000000
19,1.0000000000000000
20,1.0000000000000000
21,1.0000000000000000
22,1.0000000000000000
23,1.0000000000000000
24,0.9889857769012451
25,0.8076338768005371
26,0.9988664388656616
27,1.0000000000000000
28,1.0000000000000000
29,0.9999978542327881
30,1.0000000000000000
31,1.0000000000000000
32,1.0000000000000000
33,0.9999898672103882
34,0.9999998807907104
35,1.0000000000000000
36,1.0000000000000000
37,1.0000000000000000
38,1.0000000000000000
39,0.9991470575332642
40,0.0000000143765044
41,1.0000000000000000
42,1.0000000000000000
43,1.0000000000000000
44,1.0000000000000000
45,1.0000000000000000
46,1.0000000000000000
47,1.0000000000000000
48,0.3466855883598328
49,0.9908089637756348
50,0.9999655485153198
51,0.9999774694442749
52,1.0000000000000000
53,0.6871088743209839
54,0.9999990463256836
55,1.0000000000000000
56,0.0056417081505060
57,0.9997904896736145
58,0.0000035663631479
59,0.9999437332153320
60,1.0000000000000000
61,1.0000000000000000
62,0.0000000076435951
63,1.0000000000000000
64,0.9999996423721313
65,1.0000000000000000
66,1.0000000000000000
67,1.0000000000000000
68,1.0000000000000000
69,1.0000000000000000
70,1.0000000000000000
71,1.0000000000000000
72,1.0000000000000000
73,1.0000000000000000
74,0.9999997615814209
75,1.0000000000000000
76,1.0000000000000000
77,1.0000000000000000
78,1.0000000000000000
79,1.0000000000000000
80,1.0000000000000000
81,1.0000000000000000
82,1.0000000000000000
83,1.0000000000000000
84,1.0000000000000000
85,0.9976741671562195
86,1.0000000000000000
87,1.0000000000000000
88,0.2524469792842865
89,0.9999897480010986
90,1.0000000000000000
91,1.0000000000000000
92,1.0000000000000000
